title,release_year,runtime_minutes,imdb_rating,Meta_score,No_of_Votes,Genre
Apollo 13,,140,7.6,77,269197,"Adventure, Drama, History"
The 39 Steps,1935,86,7.6,93,51853,"Crime, Mystery, Thriller"
Lifeboat,1944,97,7.6,78,26471,"Drama, War"
From Here to Eternity,1953,118,7.6,85,43374,"Drama, Romance, War"
Giant,1956,201,7.6,84,34075,"Drama, Western"
Breakfast at Tiffany's,1961,115,7.6,76,166544,"Comedy, Drama, Romance"
A Hard Day's Night,1964,87,7.6,96,40351,"Comedy, Music, Musical"
Blowup,1966,111,7.6,82,56513,"Drama, Mystery, Thriller"
The Jungle Book,1967,78,7.6,65,166409,"Animation, Adventure, Family"
Kelly's Heroes,1970,144,7.6,50,45338,"Adventure, Comedy, War"
Giù la testa,1971,157,7.6,77,30144,"Drama, War, Western"
The Long Goodbye,1973,112,7.6,87,26337,"Comedy, Crime, Drama"
Close Encounters of the Third Kind,1977,138,7.6,90,184966,"Drama, Sci-Fi"
Midnight Express,1978,121,7.6,59,73662,"Biography, Crime, Drama"
Watership Down,1978,91,7.6,64,33656,"Animation, Adventure, Drama"
Escape from Alcatraz,1979,112,7.6,76,121731,"Action, Biography, Crime"
The Muppet Movie,1979,95,7.6,74,32802,"Adventure, Comedy, Family"
The Warriors,1979,92,7.6,65,93878,"Action, Crime, Thriller"
Mad Max 2,1981,96,7.6,77,166588,"Action, Adventure, Sci-Fi"
On Golden Pond,1981,109,7.6,68,27650,Drama
Blood Simple,1984,99,7.6,82,87745,"Crime, Drama, Thriller"
Lethal Weapon,1987,109,7.6,68,236894,"Action, Crime, Thriller"
"Planes, Trains & Automobiles",1987,93,7.6,72,124773,"Comedy, Drama"
The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76,152871,"Comedy, Crime"
When Harry Met Sally...,1989,95,7.6,76,195663,"Comedy, Drama, Romance"
The Little Mermaid,1989,83,7.6,88,237696,"Animation, Family, Fantasy"
The Godfather: Part III,1990,162,7.6,60,359809,"Crime, Drama"
Home Alone,1990,103,7.6,63,488817,"Comedy, Family"
Delicatessen,1991,99,7.6,66,80487,"Comedy, Crime"
Omohide poro poro,1991,118,7.6,90,27071,"Animation, Drama, Romance"
My Cousin Vinny,1992,120,7.6,68,107325,"Comedy, Crime"
Dazed and Confused,1993,102,7.6,78,165465,Comedy
Falling Down,1993,113,7.6,56,171640,"Action, Crime, Drama"
Trois couleurs: Blanc,1994,92,7.6,88,64390,"Comedy, Drama, Romance"
Dead Man,1995,121,7.6,62,90442,"Adventure, Drama, Fantasy"
Die Hard: With a Vengeance,1995,128,7.6,58,364420,"Action, Adventure, Thriller"
Sense and Sensibility,1995,136,7.6,84,102598,"Drama, Romance"
The Bridges of Madison County,1995,135,7.6,69,73172,"Drama, Romance"
Sleepers,1996,147,7.6,49,186734,"Crime, Drama, Thriller"
Lost Highway,1997,134,7.6,52,131101,"Mystery, Thriller"
Funny Games,1997,108,7.6,69,65058,"Crime, Drama, Thriller"
Mulan,1998,88,7.6,71,256906,"Animation, Adventure, Family"
Lola rennt,1998,81,7.6,77,188317,"Crime, Drama, Thriller"
The Thin Red Line,1998,170,7.6,78,172710,"Drama, War"
Fear and Loathing in Las Vegas,1998,118,7.6,41,259753,"Adventure, Comedy, Drama"
Dark City,1998,100,7.6,66,187927,"Mystery, Sci-Fi, Thriller"
The Hurricane,1999,146,7.6,74,91557,"Biography, Drama, Sport"
Batoru rowaiaru,2000,114,7.6,81,169091,"Action, Adventure, Drama"
American Psycho,2000,101,7.6,64,490062,"Comedy, Crime, Drama"
The Royal Tenenbaums,2001,110,7.6,76,266842,"Comedy, Drama"
Y tu mamá también,2001,106,7.6,88,115827,Drama
Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,658185,"Adventure, Family, Fantasy"
Enemy at the Gates,2001,131,7.6,53,243729,"Drama, History, War"
The Others,2001,101,7.6,74,337651,"Horror, Mystery, Thriller"
Blow,2001,124,7.6,52,240714,"Biography, Crime, Drama"
Minority Report,2002,145,7.6,80,508417,"Action, Crime, Mystery"
25th Hour,2002,135,7.6,68,169708,Drama
Boksuneun naui geot,2002,129,7.6,56,62659,"Crime, Drama, Thriller"
28 Days Later...,2002,113,7.6,73,376853,"Drama, Horror, Sci-Fi"
21 Grams,2003,124,7.6,70,224545,"Crime, Drama, Thriller"
The Station Agent,2003,89,7.6,81,67370,"Comedy, Drama"
Jeux d'enfants,2003,93,7.6,45,67360,"Comedy, Drama, Romance"
Dead Man's Shoes,2004,90,7.6,52,49728,"Crime, Drama, Thriller"
Un long dimanche de fiançailles,2004,133,7.6,76,70925,"Drama, Mystery, Romance"
Saw,2004,103,7.6,46,379020,"Horror, Mystery, Thriller"
The Butterfly Effect,2004,113,7.6,30,451479,"Drama, Sci-Fi, Thriller"
