movie_id,title,release_year,budget,revenue,profit,roi,tmdb_rating,imdb_rating,runtime_minutes,imdb_genre,tmdb_genres,certificate,industry_rating,popularity,original_language
302579,Naturally Native,1999,700000,10508,-689492,-0.98498857142857144,0.0,,,,"[{""id"": 18, ""name"": ""Drama""}]",,,0.578798,en
364083,Mi America,2015,2100000,3330,-2096670,-0.9984142857142857,0.0,,,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",,,0.039007,en
116977,Foodfight!,2012,65000000,73706,-64926294,-0.99886606153846158,2.3,,,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",,,5.258726,en
78149,"An Alan Smithee Film: Burn, Hollywood, Burn",1998,10000000,45779,-9954221,-0.9954221,3.0,,,,"[{""id"": 35, ""name"": ""Comedy""}]",,,0.666218,en
118452,"First Love, Last Rites",1998,300000,40542,-259458,-0.86486,3.0,,,,"[{""id"": 18, ""name"": ""Drama""}]",,,0.374291,en
173931,Legend of a Rabbit,2011,19000000,2570000,-16430000,-0.86473684210526314,3.0,,,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",,,0.738652,zh
13805,Disaster Movie,2008,25000000,14109284,-10890716,-0.43562864,3.0,,,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",PG-13,1.9,16.238961,en
31246,From Justin to Kelly,2003,12000000,4922166,-7077834,-0.5898195,3.0,,,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",PG,2.1,1.623338,en
5491,Battlefield Earth,2000,44000000,21400000,-22600000,-0.51363636363636367,3.0,,,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10752, ""name"": ""War""}]",PG-13,2.5,7.89147,en
12142,Alone in the Dark,2005,20000000,10442808,-9557192,-0.4778596,3.1,,,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",R,2.4,9.292987,en
9760,Epic Movie,2007,20000000,86865564,66865564,3.3432782,3.2,,,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",PG-13,2.4,6.064638,en
9544,FearDotCom,2002,40000000,18902015,-21097985,-0.527449625,3.2,,,,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",R,3.4,6.756886,en
32316,Marci X,2003,20000000,1675706,-18324294,-0.9162147,3.3,,,,"[{""id"": 35, ""name"": ""Comedy""}]",,,5.65327,en
