movie_id,title,release_year,budget,revenue,profit,roi,tmdb_rating,vote_count,popularity,original_language,genres
70478,The Stewardesses,1969,100000,27000000,26900000,269.0,4.3,5,1.183892,en,"[{""id"": 35, ""name"": ""Comedy""}]"
11586,Exorcist II: The Heretic,1977,14000000,30749142,16749142,1.1963672857142857,4.5,133,11.543363,en,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 14, ""name"": ""Fantasy""}]"
5822,Sweet Sweetback's Baadasssss Song,1971,150000,15200000,15050000,100.33333333333333,4.6,18,0.132878,en,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
43839,Alexander's Ragtime Band,1938,2000000,4000000,2000000,1.0,4.8,6,0.483974,en,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]"
25763,Damnation Alley,1977,17000000,8720000,-8280000,-0.48705882352941177,5.0,27,2.215261,en,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]"
65203,The Broadway Melody,1929,379000,4358000,3979000,10.49868073878628,5.0,19,0.968865,en,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]"
43595,She Done Him Wrong,1933,200000,2200000,2000000,10.0,5.1,27,0.622752,en,"[{""id"": 35, ""name"": ""Comedy""}]"
29996,Solomon and Sheba,1959,5000000,12200000,7200000,1.44,5.4,8,0.835617,en,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]"
31915,Prophecy,1979,12000000,54000000,42000000,3.5,5.4,25,8.61659,en,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]"
39209,Shalako,1968,1455000,2620000,1165000,0.80068728522336774,5.4,12,3.598457,en,"[{""id"": 37, ""name"": ""Western""}]"
39833,Love Me Tender,1956,1000000,9000000,8000000,8.0,5.5,21,1.444258,en,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 37, ""name"": ""Western""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]"
1705,Battle for the Planet of the Apes,1973,1700000,8844595,7144595,4.2027029411764705,5.5,215,13.315383,en,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]"
11519,1941,1979,35000000,31755742,-3244258,-0.092693085714285708,5.6,143,10.032626,en,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]"
30315,Kingdom of the Spiders,1977,500000,17000000,16500000,33.0,5.7,30,2.537032,en,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]"
8069,Barbarella,1968,9000000,2500000,-6500000,-0.72222222222222221,5.7,146,14.171759,en,"[{""id"": 878, ""name"": ""Science Fiction""}]"
43610,The Valley of Decision,1945,2160000,9132000,6972000,3.2277777777777779,5.8,4,0.1813,en,"[{""id"": 18, ""name"": ""Drama""}]"
579,Jaws 2,1978,20000000,187884007,167884007,8.39420035,5.9,406,19.636044,en,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
24961,The Wiz,1978,24000000,21049053,-2950947,-0.122956125,5.9,58,2.753313,en,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10402, ""name"": ""Music""}]"
13282,Death Race 2000,1975,300000,8000000,7700000,25.666666666666668,5.9,124,6.473667,en,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]"
698,Moonraker,1979,34000000,210308099,176308099,5.1855323235294115,5.9,541,29.887404,en,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]"
42345,The Molly Maguires,1970,11000000,2200000,-8800000,-0.8,5.9,16,1.396985,en,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]"
15875,Donovan's Reef,1963,2686000,6600000,3914000,1.4571854058078928,6.0,30,1.897263,en,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
24973,The Egyptian,1954,5000000,15000000,10000000,2.0,6.0,11,4.079111,en,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]"
17277,The Fall of the Roman Empire,1964,19000000,4750000,-14250000,-0.75,6.0,33,4.229942,en,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]"
43306,A Guy Named Joe,1944,2627000,5363000,2736000,1.0414921964217738,6.0,8,0.531444,en,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]"
